[2025-09-27 12:21:52] User: admin (ID: 1) | IP: 109.43.114.41 | Action: login | Details: Successful login
[2025-09-27 12:22:17] User: admin (ID: 1) | IP: 109.43.114.41 | Action: background_uploaded | Details: Background image uploaded: background.png
[2025-09-27 12:22:32] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from available to rented (Object ID: 5)
[2025-09-27 12:22:33] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from rented to available (Object ID: 5)
[2025-09-27 12:22:41] User: admin (ID: 1) | IP: 109.43.114.41 | Action: object_deleted | Details: Object deleted: Sound System F1 (ID: 5)
[2025-09-27 12:22:54] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from rented to available (Object ID: 2)
[2025-09-27 12:22:55] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from available to rented (Object ID: 2)
[2025-09-27 12:22:56] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from rented to available (Object ID: 2)
[2025-09-27 12:23:01] User: admin (ID: 1) | IP: 109.43.114.41 | Action: object_deleted | Details: Object deleted: Lichtmast B2 (ID: 2)
[2025-09-27 12:23:04] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from maintenance to available (Object ID: 4)
[2025-09-27 12:23:05] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from available to rented (Object ID: 4)
[2025-09-27 12:23:06] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from rented to available (Object ID: 4)
[2025-09-27 12:23:06] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_changed | Details: Status changed from available to rented (Object ID: 4)
[2025-09-27 12:45:56] User: admin (ID: 1) | IP: 109.43.114.41 | Action: login | Details: Successful login
[2025-09-27 13:17:28] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to rented for object 'Generator A1' (ID: 1)
[2025-09-27 13:17:29] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to rented for object 'Generator A1' (ID: 1)
[2025-09-27 13:17:40] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to maintenance for object 'Generator A1' (ID: 1)
[2025-09-27 13:17:56] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to rented for object 'Generator A1' (ID: 1)
[2025-09-27 13:29:02] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to maintenance for object 'Generator A1' (ID: 1)
[2025-09-27 13:29:02] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to maintenance for object 'Generator A1' (ID: 1)
[2025-09-27 13:29:08] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to available for object 'Generator A1' (ID: 1)
[2025-09-27 13:29:26] User: admin (ID: 1) | IP: 109.43.114.41 | Action: background_uploaded | Details: Background image uploaded: background.png
[2025-09-27 13:29:48] User: admin (ID: 1) | IP: 109.43.114.41 | Action: background_uploaded | Details: Background image uploaded: background.png
[2025-09-27 13:32:41] User: admin (ID: 1) | IP: 109.43.114.41 | Action: background_uploaded | Details: Background image uploaded: background.png
[2025-09-27 13:37:43] User: admin (ID: 1) | IP: 109.43.114.41 | Action: background_uploaded | Details: Background image uploaded: background.png
[2025-09-27 13:38:47] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to available for object 'Beleuchtung E5' (ID: 4)
[2025-09-27 20:06:15] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to rented for object 'Beleuchtung E5' (ID: 4)
[2025-09-27 20:06:15] User: admin (ID: 1) | IP: 109.43.114.41 | Action: status_set | Details: Status set to rented for object 'Beleuchtung E5' (ID: 4)
